File #,File name,# of Tubes,# walls per CNT,# of Atoms,# of Bonds,Bond Ratio,CNT height,Initial Dia (Ang.),Initial Dia (nm),Cross-sectional area (nm^2),Strain at Break,1/2 Stress (GPa),1/2 Strain,Strength (GPa),Elastic Modulus (GPa)
1,001-2N2M2,2,1,160,236,1.475,24.1694275819999,2.71,0.271,0.665705054092004,0.23600001626340208,27.57371673631904,0.11700001219755157,45.465992445250706,101.57647348318254
2,002-2N3M3,2,1,240,354,1.475,24.498939729,4.07,0.40700000000000003,0.9729025501306284,0.2480000081317011,35.4457148495988,0.12299998780244854,53.95553431220385,311.15407511290823
3,003-2N4M4,2,1,320,472,1.475,24.8284518759999,5.42,0.542,1.335308824667113,0.25900000406585055,42.75914044935078,0.12900000406585058,60.186624211721394,418.1533073591706
4,004-2N5M5,2,1,400,590,1.475,25.1579640219999,6.78,0.678,1.7582928595464427,0.25800000813170115,38.7345512414133,0.12800000813170104,56.08445160628925,447.5256986826008
5,005-3N2M2,3,1,240,356,1.4833333333333334,24.1694275819999,2.71,0.271,0.998557581138006,0.23800000813170116,39.74545409771527,0.11800000813170111,60.503615602552905,162.52979166047336
6,006-3N2M2,3,1,240,352,1.4666666666666666,24.1694275819999,2.71,0.271,0.998557581138006,0.22600001626340216,21.407266709932603,0.11199999186829908,33.45852757479733,492.5213106179097
7,007-3N3M3,3,1,360,534,1.4833333333333334,24.498939729,4.07,0.40700000000000003,1.4593538251959426,0.25099999593414957,51.64367182945951,0.1250000203292527,74.72432827824727,611.1045959396059
8,008-3N3M3,3,1,360,528,1.4666666666666666,24.498939729,4.07,0.40700000000000003,1.4593538251959426,0.25800000813170115,31.647969081600667,0.12800000813170104,43.872149185680875,371.91873033487656
9,009-3N4M4,3,1,480,712,1.4833333333333334,24.8284518759999,5.42,0.542,2.0029632370006696,0.25299998780244853,52.19868546511164,0.1260000162634021,73.54944331930267,480.55133198901655
10,010-3N4M4,3,1,480,704,1.4666666666666666,24.8284518759999,5.42,0.542,2.0029632370006696,0.24900000406585063,32.47220984179179,0.12399998373659794,43.4571088229395,246.06060260145497
11,011-3N5M5,3,1,600,890,1.4833333333333334,25.1579640219999,6.78,0.678,2.637439289319664,0.24099999593414953,47.53048594437231,0.12000000000000005,69.74924622633301,522.2283653797214
12,012-3N5M5,3,1,600,880,1.4666666666666666,25.1579640219999,6.78,0.678,2.637439289319664,0.2560000162634021,29.4722620211742,0.12700001219755164,40.203319577851985,296.3759713537776
13,013-4N2M2,4,1,320,476,1.4875,24.1694275819999,2.71,0.271,1.331410108184008,0.23700001219755162,47.213383266406765,0.11800000813170111,69.42078015481378,599.3592114603498
14,014-4N2M2,4,1,320,472,1.475,24.1694275819999,2.71,0.271,1.331410108184008,0.2280000081317011,29.455566506576115,0.11299998780244848,46.018595144826364,279.52032248373644
15,015-4N2M2,4,1,320,468,1.4625,24.1694275819999,2.71,0.271,1.331410108184008,0.22900000406585064,14.793215618481412,0.11399998373659803,22.87144051632221,55.591207719365315
16,016-4N3M3,4,1,480,714,1.4875,24.498939729,4.07,0.40700000000000003,1.9458051002612569,0.2450000203292526,54.730767022160364,0.121999991868299,80.4323223531059,473.9277973545803
17,017-4N3M3,4,1,480,708,1.475,24.498939729,4.07,0.40700000000000003,1.9458051002612569,0.24900000406585063,38.27443870811003,0.12399998373659794,56.81575331471985,331.31104867280527
18,018-4N3M3,4,1,480,702,1.4625,24.498939729,4.07,0.40700000000000003,1.9458051002612569,0.23900000406585056,25.562294118540166,0.11900000406585051,35.885842760099955,316.77357775006806
19,019-4N4M4,4,1,640,952,1.4875,24.8284518759999,5.42,0.542,2.670617649334226,0.2450000203292526,55.23866745971776,0.121999991868299,80.29847163017808,572.3220566541337
20,020-4N4M4,4,1,640,944,1.475,24.8284518759999,5.42,0.542,2.670617649334226,0.24600001626340215,42.49000492328102,0.121999991868299,59.37759790563609,441.83380877101064
21,021-4N4M4,4,1,640,936,1.4625,24.8284518759999,5.42,0.542,2.670617649334226,0.231999991868299,27.310469240552777,0.11500002032925262,37.724312893903196,337.2807392975023
22,022-4N5M5,4,1,800,1190,1.4875,25.1579640219999,6.78,0.678,3.5165857190928853,0.25199999186829897,52.97899450222939,0.1249999796707475,77.09745751841,461.11805786956603
23,023-4N5M5,4,1,800,1180,1.475,25.1579640219999,6.78,0.678,3.5165857190928853,0.24700001219755155,38.3436899626712,0.12299998780244854,55.41061045850636,437.4906643292114
24,024-4N5M5,4,1,800,1170,1.4625,25.1579640219999,6.78,0.678,3.5165857190928853,0.25800000813170115,24.231461844850088,0.12800000813170104,32.557938166020726,220.32553080379017
25,025-5N2M2,5,1,400,596,1.49,24.1694275819999,2.71,0.271,1.6642626352300098,0.23600001626340208,50.25954696493506,0.11700001219755157,74.20425655494098,448.2508181045332
26,026-5N2M2,5,1,400,592,1.48,24.1694275819999,2.71,0.271,1.6642626352300098,0.23299998780244854,35.741683013684515,0.11600001626340217,56.14002544610074,104.00454092080211
27,027-5N2M2,5,1,400,588,1.47,24.1694275819999,2.71,0.271,1.6642626352300098,0.23900000406585056,24.617332765933618,0.11900000406585051,36.6773637128555,124.94637027427399
28,028-5N2M2,5,1,400,584,1.46,24.1694275819999,2.71,0.271,1.6642626352300098,0.24299998780244847,11.924261192878781,0.1209999959341496,20.108522382060507,116.17254987252673
29,029-5N3M3,5,1,600,894,1.49,24.498939729,4.07,0.40700000000000003,2.432256375326571,0.2450000203292526,58.278429605795715,0.121999991868299,85.14032793351241,612.0112552311319
30,030-5N3M3,5,1,600,888,1.48,24.498939729,4.07,0.40700000000000003,2.432256375326571,0.24900000406585063,43.59430655988516,0.12399998373659794,64.60408230386192,320.3847163868783
31,031-5N3M3,5,1,600,882,1.47,24.498939729,4.07,0.40700000000000003,2.432256375326571,0.24600001626340215,35.62665131514637,0.121999991868299,49.36868043189586,323.1405673780862
32,032-5N3M3,5,1,600,876,1.46,24.498939729,4.07,0.40700000000000003,2.432256375326571,0.2550000203292527,25.251308829753196,0.12700001219755164,32.58484996404377,272.43055664168395
33,033-5N4M4,5,1,800,1192,1.49,24.8284518759999,5.42,0.542,3.3382720616677823,0.24900000406585063,59.68783401629816,0.12399998373659794,86.26629150910257,558.154249866201
34,034-5N4M4,5,1,800,1184,1.48,24.8284518759999,5.42,0.542,3.3382720616677823,0.25199999186829897,48.69828264752085,0.1249999796707475,68.15540345298685,478.4510295118403
35,035-5N4M4,5,1,800,1176,1.47,24.8284518759999,5.42,0.542,3.3382720616677823,0.24600001626340215,35.370183865450876,0.121999991868299,49.91524798933029,358.5410818133544
36,036-5N4M4,5,1,800,1168,1.46,24.8284518759999,5.42,0.542,3.3382720616677823,0.2480000081317011,24.939809622471444,0.12299998780244854,32.613876323595214,340.7848290549011
37,037-5N5M5,5,1,1000,1490,1.49,25.1579640229999,6.78,0.678,4.395732148866107,0.25199999186829897,56.34853459764693,0.1249999796707475,81.73913340798083,502.7123925769306
38,038-5N5M5,5,1,1000,1480,1.48,25.1579640229999,6.78,0.678,4.395732148866107,0.25499997967074745,45.31881398751224,0.12700001219755164,63.59773409677076,449.0572835945167
39,039-5N5M5,5,1,1000,1470,1.47,25.1579640229999,6.78,0.678,4.395732148866107,0.25499997967074745,31.987712584538276,0.12700001219755164,44.71686253510607,273.082647963792
40,040-5N5M5,5,1,1000,1460,1.46,25.1579640229999,6.78,0.678,4.395732148866107,0.25900000406585055,20.560073610564434,0.12900000406585058,27.15745463800606,199.56591834480116
41,041-6N2M2,6,1,480,716,1.4916666666666667,24.1694275819999,2.71,0.271,1.997115162276012,0.23299998780244854,51.370381696935475,0.11600001626340217,76.9308967070206,454.8690102374307
42,042-6N2M2,6,1,480,712,1.4833333333333334,24.1694275819999,2.71,0.271,1.997115162276012,0.23399998373659794,39.79570538229082,0.11600001626340217,61.688570978587684,416.21322840350297
43,043-6N2M2,6,1,480,708,1.475,24.1694275819999,2.71,0.271,1.997115162276012,0.23299998780244854,29.63111267384845,0.11600001626340217,46.62967723360947,133.08381982325744
44,044-6N2M2,6,1,480,704,1.4666666666666666,24.1694275819999,2.71,0.271,1.997115162276012,0.24299998780244847,18.417254599627196,0.1209999959341496,30.772585134480288,70.81846812370141
45,045-6N2M2,6,1,480,700,1.4583333333333333,24.1694275819999,2.71,0.271,1.997115162276012,0.22900000406585064,9.14017750788788,0.11399998373659803,14.955644897315587,176.6176158465642
46,046-6N3M3,6,1,720,1074,1.4916666666666667,24.498939729,4.07,0.40700000000000003,2.918707650391885,0.24700001219755155,60.819347709177116,0.12299998780244854,88.23615876312925,595.488607531437
47,047-6N3M3,6,1,720,1068,1.4833333333333334,24.498939729,4.07,0.40700000000000003,2.918707650391885,0.24900000406585063,49.58651506542022,0.12399998373659794,72.90993518838035,579.6085220035152
48,048-6N3M3,6,1,720,1062,1.475,24.498939729,4.07,0.40700000000000003,2.918707650391885,0.24900000406585063,39.494603324265015,0.12399998373659794,57.54849154969153,462.1922011200268
49,049-6N3M3,6,1,720,1056,1.4666666666666666,24.498939729,4.07,0.40700000000000003,2.918707650391885,0.25299998780244853,28.106222358447162,0.1260000162634021,40.189397106252954,296.74281346651617
50,050-6N3M3,6,1,720,1050,1.4583333333333333,24.498939729,4.07,0.40700000000000003,2.918707650391885,0.25199999186829897,21.749151408124515,0.1250000203292527,27.083764652136555,353.1721292438914
51,051-6N4M4,6,1,960,1432,1.4916666666666667,24.8284518759999,5.42,0.542,4.005926474001339,0.24900000406585063,60.34290690465627,0.12399998373659794,88.09825314301133,563.5719590304867
52,052-6N4M4,6,1,960,1424,1.4833333333333334,24.8284518759999,5.42,0.542,4.005926474001339,0.24700001219755155,51.78340637358665,0.12299998780244854,73.63618857569361,550.2056362845972
53,053-6N4M4,6,1,960,1416,1.475,24.8284518759999,5.42,0.542,4.005926474001339,0.25299998780244853,43.159891771835724,0.1260000162634021,59.20405736418827,448.05510298623204
54,054-6N4M4,6,1,960,1408,1.4666666666666666,24.8284518759999,5.42,0.542,4.005926474001339,0.2480000081317011,31.409734044854265,0.12299998780244854,43.802205547214115,369.07470917094724
55,055-6N4M4,6,1,960,1400,1.4583333333333333,24.8284518759999,5.42,0.542,4.005926474001339,0.26499997967074757,22.579638150850933,0.13199999186829908,28.53490086058808,259.3889404857628
56,056-6N5M5,6,1,1200,1790,1.4916666666666667,25.1579640229999,6.78,0.678,5.274878578639328,0.24900000406585063,57.61034242882419,0.12399998373659794,84.75537396355594,528.6000770250788
57,057-6N5M5,6,1,1200,1780,1.4833333333333334,25.1579640229999,6.78,0.678,5.274878578639328,0.24299998780244847,47.70456621712452,0.1209999959341496,69.19736035879184,434.6009943349088
58,058-6N5M5,6,1,1200,1770,1.475,25.1579640229999,6.78,0.678,5.274878578639328,0.25199999186829897,38.71316805139342,0.1249999796707475,54.9248403031347,408.4939740998241
59,059-6N5M5,6,1,1200,1760,1.4666666666666666,25.1579640229999,6.78,0.678,5.274878578639328,0.25299998780244853,29.496498302601715,0.1260000162634021,40.06026558988267,329.74177943751044
60,060-6N5M5,6,1,1200,1750,1.4583333333333333,25.1579640229999,6.78,0.678,5.274878578639328,0.25099999593414957,19.62173566761723,0.1249999796707475,25.029361746148663,199.38747201084274
61,061-7N2M2,7,1,560,836,1.4928571428571429,24.1694275819999,2.71,0.271,2.329967689322014,0.22700001219755156,50.17952871089211,0.11299998780244848,76.5578695811291,521.6660854639694
62,062-7N2M2,7,1,560,832,1.4857142857142858,24.1694275819999,2.71,0.271,2.329967689322014,0.23399998373659794,43.07699434077863,0.11600001626340217,66.51895146495362,396.23138788878697
63,063-7N2M2,7,1,560,828,1.4785714285714286,24.1694275819999,2.71,0.271,2.329967689322014,0.23900000406585056,37.466917466120606,0.11900000406585051,54.5889674015465,296.4603695829042
64,064-7N2M2,7,1,560,824,1.4714285714285715,24.1694275819999,2.71,0.271,2.329967689322014,0.23399998373659794,26.002867491358504,0.11600001626340217,39.74106072320136,235.73776349020312
65,065-7N2M2,7,1,560,820,1.4642857142857142,24.1694275819999,2.71,0.271,2.329967689322014,0.2309999959341496,14.267683556705116,0.11500002032925262,24.098318349614168,257.39504924447687
66,066-7N2M2,7,1,560,816,1.457142857142857,24.1694275819999,2.71,0.271,2.329967689322014,0.24900000406585063,8.48645439121732,0.12399998373659794,13.773313195482013,185.39138785949777
67,067-7N3M3,7,1,840,1254,1.4928571428571429,24.498939729,4.07,0.40700000000000003,3.4051589254571994,0.23900000406585056,58.59384570602087,0.11900000406585051,89.10290932639505,551.5892638332568
68,068-7N3M3,7,1,840,1248,1.4857142857142858,24.498939729,4.07,0.40700000000000003,3.4051589254571994,0.24099999593414953,51.318885475541755,0.12000000000000005,76.47219369782923,481.81793183376806
69,069-7N3M3,7,1,840,1242,1.4785714285714286,24.498939729,4.07,0.40700000000000003,3.4051589254571994,0.25299998780244853,46.360300005826325,0.1260000162634021,65.40583926518481,490.53905359975585
70,070-7N3M3,7,1,840,1236,1.4714285714285715,24.498939729,4.07,0.40700000000000003,3.4051589254571994,0.2480000081317011,38.530527664298454,0.12299998780244854,52.90837940909063,472.3236121562276
71,071-7N3M3,7,1,840,1230,1.4642857142857142,24.498939729,4.07,0.40700000000000003,3.4051589254571994,0.2450000203292526,30.270606193963733,0.121999991868299,40.30202445636187,344.04703029873366
72,072-7N3M3,7,1,840,1224,1.457142857142857,24.498939729,4.07,0.40700000000000003,3.4051589254571994,0.2450000203292526,21.84935097263964,0.121999991868299,26.464160274468924,244.34648528969072
73,073-7N4M4,7,1,1120,1672,1.4928571428571429,24.8284518759999,5.42,0.542,4.6735808863348955,0.24199999186829907,61.26698316637515,0.12000000000000005,89.93101582214835,609.753857391139
74,074-7N4M4,7,1,1120,1664,1.4857142857142858,24.8284518759999,5.42,0.542,4.6735808863348955,0.25199999186829897,54.799706177193215,0.1249999796707475,78.40519651960415,570.4025252833013
75,075-7N4M4,7,1,1120,1656,1.4785714285714286,24.8284518759999,5.42,0.542,4.6735808863348955,0.25099999593414957,46.91491353597195,0.1249999796707475,65.27187747379546,478.7462172922799
76,076-7N4M4,7,1,1120,1648,1.4714285714285715,24.8284518759999,5.42,0.542,4.6735808863348955,0.25000000000000006,38.08710329148192,0.12399998373659794,51.868793469459646,407.74294215725155
77,077-7N4M4,7,1,1120,1640,1.4642857142857142,24.8284518759999,5.42,0.542,4.6735808863348955,0.25299998780244853,30.053545291956166,0.1260000162634021,39.55433348430862,381.8272339666274
78,078-7N4M4,7,1,1120,1632,1.457142857142857,24.8284518759999,5.42,0.542,4.6735808863348955,0.24199999186829907,20.96744739792025,0.12000000000000005,26.360882502695,274.554431507033
79,079-7N5M5,7,1,1400,2090,1.4928571428571429,25.1579640229999,6.78,0.678,6.15402500841255,0.24199999186829907,57.31467586633254,0.12000000000000005,85.57848563259049,531.9435452822603
80,080-7N5M5,7,1,1400,2080,1.4857142857142858,25.1579640229999,6.78,0.678,6.15402500841255,0.25399998373659805,51.0390907088432,0.1260000162634021,74.36552137013653,512.1731842336104
81,081-7N5M5,7,1,1400,2070,1.4785714285714286,25.1579640229999,6.78,0.678,6.15402500841255,0.25000000000000006,42.397905243022976,0.12399998373659794,60.78004871450981,363.09162987326357
82,082-7N5M5,7,1,1400,2060,1.4714285714285715,25.1579640229999,6.78,0.678,6.15402500841255,0.24900000406585063,34.691156420249776,0.12399998373659794,48.63138368109646,355.01748269927606
83,083-7N5M5,7,1,1400,2050,1.4642857142857142,25.1579640229999,6.78,0.678,6.15402500841255,0.24199999186829907,25.626413671411303,0.12000000000000005,34.54799064040512,274.48663733529406
84,084-7N5M5,7,1,1400,2040,1.457142857142857,25.1579640229999,6.78,0.678,6.15402500841255,0.2560000162634021,17.543028483996295,0.12700001219755164,22.398542708819758,205.30619797394235
85,085-2N6M6,2,1,480,708,1.475,24.257720096,8.14,0.8140000000000001,2.239383792146569,0.24900000406585063,35.20559717089747,0.12399998373659794,50.29117071516896,343.3334030891426
86,086-2N7M7,2,1,560,826,1.475,24.5872322429999,9.49,0.9490000000000001,2.7744048750345454,0.24900000406585063,32.05993560341601,0.12399998373659794,46.89388988789706,262.05604092453916
87,087-2N8M8,2,1,640,944,1.475,24.9167443889999,10.85,1.085,3.371282346475376,0.25199999186829897,30.143740198592628,0.1249999796707475,43.96075385800499,248.77585575435887
88,088-2N9M9,2,1,720,1062,1.475,25.246256536,12.2,1.22,4.0212385965949355,0.25900000406585055,28.67193487155674,0.12900000406585058,41.63631153460315,302.0525532081548
89,089-2N10M10,2,1,800,1180,1.475,24.3460126099999,13.56,1.356,4.733902606876474,0.25000000000000006,26.177182174159817,0.12399998373659794,38.57345170682151,283.58558007709803
90,090-3N10M10,3,1,1200,1780,1.4833333333333334,24.3460126089999,13.56,1.356,7.1008539103147115,0.2400000000000001,33.89851584055305,0.11900000406585051,50.16227313005347,346.4371921554537
91,091-3N10M10,3,1,1200,1760,1.4666666666666666,24.3460126089999,13.56,1.356,7.1008539103147115,0.25299998780244853,18.9132775713926,0.1260000162634021,26.99277344058121,173.61739510188252
92,092-3N9M9,3,1,1080,1602,1.4833333333333334,25.246256536,12.2,1.22,6.031857894892403,0.25199999186829897,36.4928097891012,0.1250000203292527,53.24542610148122,324.9904305759107
